相変わらず,相[あい] 変[か]わらず,as before/usual,
引っ繰り返す,引[ひっ] 繰[く]り 返[かえ]す,to turn over,
引っ込む,引[ひ]っ 込[こ]む,to withdraw,
羊,羊[ひつじ],sheep,
必死,必[ひっ] 死[し],desperate,
筆者,筆[ひっ] 者[しゃ],writer,
びっしょり,びっしょり,drenched,
びっしり,びっしり,"tightly packed, full of",
ひっそり,ひっそり,"still, quiet",
ぴったり,ぴったり,exactly,
引っ張る,引[ひ]っ 張[ぱ]る,to lead,
否定,否[ひ] 定[てい],"negation, denial",
人違い,人[ひと] 違[ちが]い,mistaking one person for another,
一つおき,一[ひと]つおき,every other,
ひとまず,ひとまず,for now,
一人暮らし,一人[ひとり] 暮[ぐ]らし,living alone,
一人っ子,一人[ひとり]っ 子[こ],only child,
避難,避[ひ] 難[なん],evacuation,
皮肉,皮[ひ] 肉[にく],irony,
ひねる,ひねる,to twist,
批判,批[ひ] 判[はん],criticism,
批評,批[ひ] 評[ひょう],criticism,
冷やす,冷[ひ]やす,to chill,
ひやひや,ひやひや,nervously,
表,表[ひょう],"chart, table",
～費用,～ 費[ひ] 用[よう],～ expenses,
美容,美[び] 容[よう],beauty,
評価,評[ひょう] 価[か],evaluation,
美容師,美[び] 容[よう] 師[し],"beautician, hairdresser",
評判,評[ひょう] 判[ばん],reputation,
標本,標[ひょう] 本[ほん],specimen,
表面化,表[ひょう] 面[めん] 化[か],surfacing,
評論,評[ひょう] 論[ろん],criticism,
評論家,評[ひょう] 論[ろん] 家[か],critic,
ヒヨコ,ヒヨコ,chick,
ひょっとしたら,ひょっとしたら,possibly,
ひょっとすると,ひょっとすると,possibly,
微量,微[び] 量[りょう],very small amount,
広がる,広[ひろ]がる,to unfold,
広げる,広[ひろ]げる,to spread out,
広場,広[ひろ] 場[ば],"square, plaza",
広まる,広[ひろ]まる,to spread (vi.),
広める,広[ひろ]める,to spread (vt.),
瓶,瓶[びん],bottle,
品種,品[ひん] 種[しゅ],variety,
品種改良,品[ひん] 種[しゅ] 改[かい] 良[りょう],selective breeding,
頻繁,頻[ひん] 繁[ぱん],frequency,
ひんやり,ひんやり,cool,
不～、不～,不[ふ]～、 不[ぶ]～,不[ふ]～：un/dis/im-<br>不[ぶ]～：un/im-,
ファイル,ファイル,file,
～風,～ 風[ふう],～ style,
風景,風[ふう] 景[けい],scenery,
フォント,フォント,font,
部下,部[ぶ] 下[か],subordinate,反.  上[じょう] 司[し]<br>boss
不可能,不[ふ] 可[か] 能[のう],impossible,
ぶかぶか,ぶかぶか,baggy,
深まる,深[ふか]まる,to deepen (vi.),
深み,深[ふか]み,depth,
深める,深[ふか]める,to deepen (vt.),
不規則,不[ふ] 規[き] 則[そく],irregular,
不気味,不[ぶ] 気[き] 味[み],eerie,
普及,普[ふ] 及[きゅう],diffusion,
普及率,普[ふ] 及[きゅう] 率[りつ],diffusion rate,
不器用,不[ぶ] 器[き] 用[よう],clumsy,"反.  器[き] 用[よう]<br>dexterity, skilfulness"
ふきん,ふきん,dishcloth,
ふく,ふく,to wipe,
副～,副[ふく]～,"vice ～, side ～",
副作用,副[ふく] 作[さ] 用[よう],side effect,
服装,服[ふく] 装[そう],clothing,
副都心,副[ふく] 都[と] 心[しん],sub-centre of a city,
含む,含[ふく]む,to have something in one's mouth,
膨らむ,膨[ふく]らむ,"to swell, to expand",
不景気,不[ふ] 景[けい] 気[き],recession,
不潔,不[ふ] 潔[けつ],dirty,反.  清[せい] 潔[けつ]<br>cleanliness
ふさがる,ふさがる,"to be closed, to close up, to be occupied",
ふざける,ふざける,to play around,
不作法,不[ぶ] 作[さ] 法[ほう],"impolite, rude",
ふさわしい,ふさわしい,suitable,
武士,武[ぶ] 士[し],samurai,
不足,不[ふ] 足[そく],"lack, shortage",
～不足,～ 不[ぶ] 足[そく],lack of ～,
不足分,不[ふ] 足[そく] 分[ぶん],deficit,
舞台,舞[ぶ] 台[たい],stage,
双子,双[ふた] 子[ご],twins,
負担,負[ふ] 担[たん],"burden, responsibility",
物価,物[ぶっ] 価[か],prices,
ぶつかる,ぶつかる,"to hit, to collide",
復旧,復[ふっ] 旧[きゅう],restoration,
物質,物[ぶっ] 質[しつ],substance,
ぶつぶつ,ぶつぶつ,grumble,
物理学,物[ぶつ] 理[り] 学[がく],physics,
不適切,不[ふ] 適[てき] 切[せつ],unsuitable,反.  適[てき] 切[せつ]<br>appropriate
不適当,不[ふ] 適[てき] 当[とう],inappropriate,
ふと,ふと,suddenly,
部品,部[ぶ] 品[ひん],part,
吹雪,吹雪[ふぶき],snowstorm,
不平,不[ふ] 平[へい],complaint,
不真面目,不[ふ] 真[ま] 面目[じめ],frivolous,
踏切,踏[ふみ] 切[きり],railway crossing,
ふもと,ふもと,bottom of,
ブラシ,ブラシ,brush,
プラスチック製,プラスチック 製[せい],plastic,
ホーム,ホーム,platform (abbr.),cf. プラットホーム<br>platform
プラン,プラン,plan,
振り～,振[ふ]り～,"turn ～, way of ～",
～ぶり,～ぶり,～ performance,
振り返る,振[ふ]り 返[かえ]る,to look back,
振り向く,振[ふ]り 向[む]く,to turn about,
不良品,不[ふ] 良[りょう] 品[ひん],defective item,
プリントアウト,プリントアウト,printout,
振る,振[ふ]る,"to wag, to sprinkle, to shake",
古～,古[ふる]～,old ～,
震える,震[ふる]える,to tremble,
古新聞,古[ふる] 新[しん] 聞[ぶん],old newspaper,
触れる,触[ふ]れる,to touch,
プログラム,プログラム,programme,
～分,～ 分[ぶん],～ amount/worth,
噴火,噴[ふん] 火[か],eruption,
文学,文[ぶん] 学[がく],literature,
文学部,文[ぶん] 学[がく] 部[ぶ],department of literature,
文芸作品,文[ぶん] 芸[げい] 作[さく] 品[ひん],literary work,
文書,文[ぶん] 書[しょ],"document, piece of writing",
奮闘,奮[ふん] 闘[とう],"struggle, efforts",
分野,分[ぶん] 野[や],area,
平気,平[へい] 気[き],"unconcerned, insensitive",
平均～,平[へい] 均[きん]～,average ～,
平均気温,平[へい] 均[きん] 気[き] 温[おん],average temperature,
平均寿命,平[へい] 均[きん] 寿[じゅ] 命[みょう],average lifespan,
平方センチメートル,平[へい] 方[ほう]センチメートル,square centimetre,
平野,平[へい] 野[や],plains,
へこむ,へこむ,"to deflate, to lose heart",
別～,別[べつ]～,another ～,
別荘,別[べっ] 荘[そう],"cottage, villa",
ペットボトル,ペットボトル,PET bottle,
別に,別[べつ]に,(not) particularly,
ベテラン,ベテラン,veteran,
へとへと,へとへと,completely exhausted,
便,便[べん],service,
変更,変[へん] 更[こう],change,
変更届,変[へん] 更[こう] 届[とどけ],notification of change,
弁護士,弁[べん] 護[ご] 士[し],lawyer,
返済,返[へん] 済[さい],repayment,
編集者,編[へん] 集[しゅう] 者[しゃ],editor,
変動,変[へん] 動[どう],fluctuation,
返品,返[へん] 品[ぴん],returned goods,
保育所,保[ほ] 育[いく] 所[しょ],nursery school,
～法,～ 法[ほう],～ method/law,
ほうき,ほうき,broom,
防災対策,防[ぼう] 災[さい] 対[たい] 策[さく],disaster prevention measures,
法事,法[ほう] 事[じ],memorial service,
～別,～ 別[べつ],by ～,
～防止,～ 防[ぼう] 止[し],prevention,
報じる,報[ほう]じる,to report,
～方針,～ 方[ほう] 針[しん],～ policy,
放送,放[ほう] 送[そう],broadcast,
包帯,包[ほう] 帯[たい],bandage,
法廷,法[ほう] 廷[てい],court,
報道,報[ほう] 道[どう],news report,
ボーナス,ボーナス,bonus,
防犯対策,防[ぼう] 犯[はん] 対[たい] 策[さく],crime prevention measures,
豊富,豊[ほう] 富[ふ],abundance,
ほうぼう,ほうぼう,various,
～方面,～ 方[ほう] 面[めん],in the direction of ～,
ホームページ,ホームページ,homepage,
ぽかぽか,ぽかぽか,warm,
保険,保[ほ] 険[けん],insurance,
保険金,保[ほ] 険[けん] 金[きん],insurance money/payment,
保健所,保[ほ] 健[けん] 所[じょ],healthcare centre,
保護,保[ほ] 護[ご],protect,
～保護,～ 保[ほ] 護[ご],～ protection,
ほこり,ほこり,dust,
募集,募[ぼ] 集[しゅう],recruitment,
保証金,保[ほ] 証[しょう] 金[きん],deposit,
干す,干[ほ]す,to dry,
保存,保[ほ] 存[ぞん],saving,
保存料,保[ほ] 存[ぞん] 料[りょう],food preservative,
墓地,墓[ぼ] 地[ち],cemetery,
仏,仏[ほとけ],Buddha,
骨が折れる,骨[ほね]が 折[お]れる,to require a lot of effort,
ほぼ,ほぼ,more or less,
ほほえみ合う,ほほえみ 合[あ]う,to exchange smiles (with another person),
ほほえみかける,ほほえみかける,to smile (at someone),
ほやほや,ほやほや,fresh,
彫る,彫[ほ]る,to carve,
滅びる,滅[ほろ]びる,to decline,
ぼろぼろ,ぼろぼろ,"tattered, ragged",
本格的,本[ほん] 格[かく] 的[てき],"full-scale, proper",
香港経由,香[ホン] 港[コン] 経[けい] 由[ゆ],via Hong Kong,
盆地,盆[ぼん] 地[ち],basin,
ほんの,ほんの,just,
ぼんやり,ぼんやり,"indistinct, absentminded",
真～,真[ま]～,brand/right/mid ～,
参る,参[まい]る,to be overwhelmed by,
負かす,負[ま]かす,to beat,
巻く,巻[ま]く,to roll,
幕,幕[まく],curtain,
まく,まく,to sow,
孫,孫[まご],grandchild,
まさか,まさか,no way,
まさに,まさに,"exactly, exactly right now",
まして,まして,much more,
マスコミ,マスコミ,mass communication,
ますます,ますます,more and more,
混ぜ込む,混[ま]ぜ 込[こ]む,to mix (in cooking),
待ち合わせる,待[ま]ち 合[あ]わせる,to arrange to meet,
真っ～,真[ま]っ～,pure/bright/deep/pitch ～,
真っ暗,真[ま]っ 暗[くら],pitch dark,
まったく,まったく,(not) at all,
まとめる,まとめる,to collect,
マナー,マナー,manner,
招く,招[まね]く,"to invite, to cause",
まぶしい,まぶしい,bright,
真向い,真[ま] 向[むか]い,right opposite,
間もなく,間[ま]もなく,soon,
守る,守[まも]る,"to keep, to protect","反.  破[やぶ]る<br>to tear, to break<p></p>攻[せ]める<br>to attack"
迷う,迷[まよ]う,to get lost,
～まる,～まる,(turns adjectives into intransitive verbs expressing change),
まるで,まるで,as if,
丸まる,丸[まる]まる,to curl up (vi.),
丸み,丸[まる]み,roundness,
丸める,丸[まる]める,"to roll up, to round (vt.)",
まれ,まれ,rare,
回る,回[まわ]る,to go around,
～回る,～ 回[まわ]る,～ around,
万一,万[まん] 一[いち],by any chance,
満員,満[まん] 員[いん],"full, crowded, packed",
万が一,万[まん]が 一[いち],by any chance,
見～,見[み]～,(indicates observation/appreciation),
未～,未[み]～,un-,
～み,～み,(turns a limited number of adjectives into nouns),
見上げる,見[み] 上[あ]げる,to look up,反.  見[み] 下[お]ろす<br>to look down
見誤る,見[み] 誤[あやま]る,to misjudge,
ミーティング,ミーティング,meeting,
見送る,見[み] 送[おく]る,to see off,"反.  出[で] 迎[むか]える<br>to meet, to greet"
見下ろす,見[み] 下[お]ろす,to look down,反.  見[み] 上[あ]げる<br>to look up
見かけ,見[み]かけ,appearance,
見かける,見[み]かける,to happen to see,
味方,味[み] 方[かた],"ally, friend",反.  攻[せ]める<br>to attack
身が入る,身[み]が 入[はい]る,to concentrate on,
未完成,未[み] 完[かん] 成[せい],unfinished,
見事,見[み] 事[ごと],brilliant,
未婚者,未[み] 婚[こん] 者[しゃ],unmarried,
岬,岬[みさき],cape,
ミシン,ミシン,sewing machine,
ミス,ミス,mistake,
湖,湖[みずうみ],lake,
自ら,自[みずか]ら,personally,
水玉模様,水[みず] 玉[たま] 模[も] 様[よう],polka dot,
見出し,見[み] 出[だ]し,headline,
道沿い,道[みち] 沿[ぞ]い,along the road,
みっともない,みっともない,shameful,
見つめ合う,見[み]つめ 合[あ]う,to look at each other,
見つめ直す,見[み]つめ 直[なお]す,to reconsider,
見つめる,見[み]つめる,to look at,
認める,認[みと]める,to acknowledge,
見直す,見[み] 直[なお]す,"to review, to look again",
見習う,見[み] 習[なら]う,to emulate,
見慣れる,見[み] 慣[な]れる,to be familiar with,
身につける,身[み]につける,"to learn, to cultivate",
実る,実[みの]る,to ripen,
未発表,未[み] 発[はっ] 表[ぴょう],unpublished,
身分証,身[み] 分[ぶん] 証[しょう],identification card,
見回る,見[み] 回[まわ]る,to go/look around,
耳が痛い,耳[みみ]が 痛[いた]い,painful to hear,
耳が早い,耳[みみ]が 早[はや]い,to be the first to know something,
耳にする,耳[みみ]にする,to hear,
耳を貸す,耳[みみ]を 貸[か]す,to listen to,
魅力的,魅[み] 力[りょく] 的[てき],enchanting,
診る,診[み]る,to examine (medically),
見分ける,見[み] 分[わ]ける,to distinguish,
無～,無[む]～,"un-, in-",
～む,～む,"(turns adjectives into verbs expressing feelings, emotions, etc.)",
向かう,向[む]かう,to head toward,
むかむか,むかむか,to feel sick,
無許可,無[む] 許[きょ] 可[か],unauthorised,
無気力,無[む] 気[き] 力[りょく],lethargic,
無視,無[む] 視[し],ignoring,
蒸し暑い,蒸[む]し 暑[あつ]い,hot and humid,
虫の居所が悪い,虫[むし]の 居[い] 所[どころ]が 悪[わる]い,to be in a bad mood,
むしろ,むしろ,rather,
蒸す,蒸[む]す,to steam,
結びつける,結[むす]びつける,"to tie, to fasten",
胸が一杯になる,胸[むね]が 一[いっ] 杯[はい]になる,to be overwhelmed with emotion,
胸に納める,胸[むね]に 納[おさ]める,"to keep to oneself (a secret, etc.)",
胸を打つ,胸[むね]を 打[う]つ,to be moving,
胸を張る,胸[むね]を 張[は]る,to be proud,
無反応,無[む] 反[はん] 応[のう],no response,
群がる,群[むら]がる,"to gather, to huddle",
群れ,群[む]れ,"flock, herd",
～目,～ 目[め],-st/nd/th,
名～,名[めい]～,famous/good ～,
名演技,名[めい] 演[えん] 技[ぎ],fine performance,
名曲,名[めい] 曲[きょく],famous piece of music,
名作,名[めい] 作[さく],fine work (of art),
名所,名[めい] 所[しょ],famous place,
名勝負,名[めい] 勝[しょう] 負[ぶ],good match,
名セリフ,名[めい]セリフ,famous line,
名場面,名[めい] 場[ば] 面[めん],famous scene (in a movie),
迷惑メール対策,迷[めい] 惑[わく]メール 対[たい] 策[さく],measures against spam,
目上,目[め] 上[うえ],superior,反.  目[め] 下[した]<br>subordinate
～メーカー,～メーカー,～ maker,
メール,メール,"mail, email",
目がない,目[め]がない,having a weakness for,
巡る,巡[めぐ]る,to go around,
目指す,目[め] 指[ざ]す,to aim at,
めざましい,めざましい,remarkable,
飯,飯[めし],"food, rice",
目下,目[め] 下[した],subordinate,反.  目[め] 上[うえ]<br>superior
雌,雌[めす],female (animal),
めちゃくちゃ,めちゃくちゃ,complete mess,
目つき,目[め]つき,look,
めっきり,めっきり,"really, remarkably",
メッセージ,メッセージ,message,
めったに,めったに,rarely,
メディア,メディア,media,
目に浮かぶ,目[め]に 浮[う]かぶ,"to imagine, to picture in one's mind",
目に付く,目[め]に 付[つ]く,to be conspicuous,
めまい,めまい,dizziness,
～める,～める,(turns adjectives into transitive verbs expressing change),
目を付ける,目[め]を 付[つ]ける,to fix one's attention on,
目を通す,目[め]を 通[とお]す,to look over,
免許証,免[めん] 許[きょ] 証[しょう],licence,
免税店,免[めん] 税[ぜい] 店[てん],duty-free shop,
面積,面[めん] 積[せき],area,
面倒,面[めん] 倒[どう],trouble,
メンバー,メンバー,member,
もうかる,もうかる,"to be profitable, to make a profit",
もうける,もうける,to make a profit,
申し込み,申[もう]し 込[こ]み,application,
申し込む,申[もう]し 込[こ]む,to apply,
申し訳ない,申[もう]し 訳[わけ]ない,I'm sorry.,
目次,目[もく] 次[じ],table of contents,
もしかしたら,もしかしたら,maybe,
もしかすると,もしかすると,maybe,
もたれる,もたれる,to lean,
持ち上げる,持[も]ち 上[あ]げる,to lift,
持ち込む,持[も]ち 込[こ]む,to bring/carry in,
持ち直す,持[も]ち 直[なお]す,to recover,
もてる,もてる,to be popular with,
元,元[もと],original,
元～,元[もと]～,former ～,
モニター,モニター,monitor,
モノレール,モノレール,monorail,
もはや,もはや,(not) any longer/more,
もむ,もむ,to massage,
模様,模[も] 様[よう],pattern,
～模様,～ 模[も] 様[よう],～ pattern,
文句,文[もん] 句[く],complaint,
持ち出す,持[も]ち 出[だ]す,to take out,
文部科学省,文[もん] 部[ぶ] 科[か] 学[がく] 省[しょう],"Ministry of Education, Culture, Sports, Science and Technology",
やかましい,やかましい,noisy,
焼き上がる,焼[や]き 上[あ]がる,to be baked,
焼き立て,焼[や]き 立[た]て,freshly baked/roasted,
～役,～ 役[やく],role of ～,
役者,役[やく] 者[しゃ],actor/actress,
訳す,訳[やく]す,to translate,
役立つ,役[やく] 立[だ]つ,to be useful,
役目,役[やく] 目[め],"role, function",
役割,役[やく] 割[わり],"role, function",
休み明け,休[やす]み 明[あ]け,just after a holiday break,
厄介,厄[やっ] 介[かい],trouble,
薬局,薬[やっ] 局[きょく],"pharmacy, chemist [drugstore]",
雇う,雇[やと]う,to hire,
野党,野[や] 党[とう],opposition (party),
破る,破[やぶ]る,"to tear, to break","反.  守[まも]る<br>to keep, to protect"
敗れる,敗[やぶ]れる,to be beaten/defeated,
やむをえず,やむをえず,unavoidably,
やむをえない,やむをえない,unavoidable,
やや,やや,a little,
有害,有[ゆう] 害[がい],harmful,
夕刊,夕[ゆう] 刊[かん],evening newspaper,
夕暮れ時,夕[ゆう] 暮[ぐ]れ 時[どき],dusk,
有効,有[ゆう] 効[こう],effective,
優先度,優[ゆう] 先[せん] 度[ど],priority,
夕立,夕[ゆう] 立[だち],shower,
有能,有[ゆう] 能[のう],competent,
有望,有[ゆう] 望[ぼう],promising,
有名人,有[ゆう] 名[めい] 人[じん],famous person,
ユーモア,ユーモア,humour,
有利,有[ゆう] 利[り],advantageous,
有力,有[ゆう] 力[りょく],"influential, powerful",
行方,行方[ゆくえ],whereabouts,
ゆで上がる,ゆで 上[あ]がる,to be completely boiled,
ゆでる,ゆでる,to boil,
湯飲み,湯[ゆ] 飲[の]み,teacup,
許す,許[ゆる]す,to forgive,
湯沸かし器,湯[ゆ] 沸[わ]かし 器[き],water heater,
夜明け,夜[よ] 明[あ]け,dawn,
酔い,酔[よ]い,drunkenness,
酔う,酔[よ]う,to get drunk,
～用,～ 用[よう],for ～,
陽気,陽[よう] 気[き],cheerful,
要求,要[よう] 求[きゅう],demand,
洋食,洋[よう] 食[しょく],Western food,反.  和[わ] 食[しょく]<br>Japanese food
幼稚園,幼[よう] 稚[ち] 園[えん],kindergarten,
幼稚園児,幼[よう] 稚[ち] 園[えん] 児[じ],kindergarten child,
用途,用[よう] 途[と],(intended) use,
洋風,洋[よう] 風[ふう],Western style,反.  和[わ] 風[ふう]<br>Japanese style
ようやく,ようやく,in the end,
要領,要[よう] 領[りょう],"point, gist",
預金,預[よ] 金[きん],"saving, deposit",
～預金,～ 預[よ] 金[きん],～ deposit,
余計,余[よ] 計[けい],extra,
汚す,汚[よご]す,to get dirty,
予算案,予[よ] 算[さん] 案[あん],budget proposal,
寄せる,寄[よ]せる,"to bring close to, to send, to have",
予想通り,予[よ] 想[そう] 通[どお]り,as expected,
酔っ払い,酔[よ]っ 払[ぱら]い,drunkard,
よっぽど,よっぽど,exceedingly,
予定通り,予[よ] 定[てい] 通[どお]り,as scheduled,
与党,与[よ] 党[とう],ruling party,
夜中,夜[よ] 中[なか],middle of the night,
呼び出す,呼[よ]び 出[だ]す,"to call, to page",
余分,余[よ] 分[ぶん],"extra, surplus",
予防,予[よ] 防[ぼう],prevention,
予防法,予[よ] 防[ぼう] 法[ほう],how to prevent,
よほど,よほど,exceedingly,
読み直す,読[よ]み 直[なお]す,to reread,
弱気,弱[よわ] 気[き],coward,"反.  強[つよ] 気[き]<br>strong, aggressive"
弱まる,弱[よわ]まる,to weaken (vi.),
弱み,弱[よわ]み,weakness,
弱める,弱[よわ]める,to weaken (vt.),
四歳児,四[よん] 歳[さい] 児[じ],four-year-old child,
～らしい,～らしい,"look, seem",
ラッシュアワー,ラッシュアワー,rush hour,
乱暴,乱[らん] 暴[ぼう],"rough, violent",
利害,利[り] 害[がい],interests,
陸,陸[りく],land,
離婚,離[り] 婚[こん],divorce,
リサイクル,リサイクル,recycle,
利子,利[り] 子[し],interest,
理想,理[り] 想[そう],ideal,
理想的,理[り] 想[そう] 的[てき],ideal,
利息,利[り] 息[そく],interest,
～率,～ 率[りつ],～ rate,
立体,立[りっ] 体[たい],solid,
リットル,リットル,litre,
立法センチメートル,立[りっ] 法[ぽう]センチメートル,cubic centimetre,
立方体,立[りっ] 方[ぽう] 体[たい],cube,
両～,両[りょう]～,both ～,
～料,～ 料[りょう],～ fee,
～量,～ 量[りょう],～ amount,
料金,料[りょう] 金[きん],"fee, charge",
両ひざ,両[りょう]ひざ,both knees,
両わき,両[りょう]わき,both sides,
～力,～ 力[りょく],～ power/force,
リラックス,リラックス,relax,
礼儀,礼[れい] 儀[ぎ],courtesy,
礼儀正しい,礼[れい] 儀[ぎ] 正[ただ]しい,polite,
冷静,冷[れい] 静[せい],calm,
レジャー,レジャー,leisure,
～連合,～ 連[れん] 合[ごう],～ union/coalition,
労働組合,労[ろう] 働[どう] 組[くみ] 合[あい],trade union [labor union],
労働条件,労[ろう] 働[どう] 条[じょう] 件[けん],working conditions,
ローン,ローン,loan,
ロンドン行き,ロンドン 行[い]き,to/bound for London,
論文,論[ろん] 文[ぶん],"dissertation, essay",
わがまま,わがまま,selfish,
わく,わく,to spring out,
枠,枠[わく],box,
わざと,わざと,on purpose,
わざわざ,わざわざ,bother/trouble (to do),
和食,和[わ] 食[しょく],Japanese food,反.  洋[よう] 食[しょく]<br>Western food
わずか,わずか,"a few, a little, only",
綿,綿[わた],cotton (plant),
話題,話[わ] 題[だい],topic,
和風,和[わ] 風[ふう],Japanese style,反.  洋[よう] 風[ふう]<br>Western style
笑いかける,笑[わら]いかける,"to smile, to grin",
割合,割[わり] 合[あい],proportion,
割り勘,割[わ]り 勘[かん],to split/share the costs,
割り算,割[わ]り 算[ざん],division,
割と,割[わり]と,comparatively,
割る,割[わ]る,to divide,
湾,湾[わん],bay,
夫人,夫[ふ] 人[じん],wife,
新時代,新[しん] 時[じ] 代[だい],new era,